código;descrição
01;CURITIBA;;
02;PARANAGUA;;
03;R BRANCO SUL;;
04;TELEMACO BORBA;;
05;PONTA GROSSA;;
06;GUARAPUAVA;;
07;U DA VITORIA;;
08;MARINGA;;
09;CAMPO MOURAO;;
10;CIANORTE;;
11;PARANAVAI;;
12;UMUARAMA;;
13;LONDRINA;;
14;ARAPONGAS;;
15;COR PROCOPIO;;
16;APUCARANA;;
17;CASCAVEL;;
18;PATO BRANCO;;
19;TOLEDO;;
20;FOZ IGUACU;;
21;FRAN BELTRAO;;
22;ST A PLATINA;;
99;Outros;;
